Order,Item,Container,Position,Rotation
1,1,0,"(0, 0, 0)",False
1,2,4,"(0, 0, 0)",False
2,1,7,"(0, 0, 0)",False
2,2,0,"(0, 0, 0)",False
3,1,7,"(0, 0, 0)",False
3,2,6,"(0, 0, 0)",False
4,1,0,"(0, 0, 0)",False
4,2,7,"(0, 0, 0)",False
4,3,7,"(0, 0, 0)",False
5,1,1,"(0, 0, 0)",False
5,2,2,"(0, 0, 0)",False
5,3,5,"(0, 0, 0)",False
6,1,7,"(0, 0, 0)",False
6,2,7,"(0, 0, 0)",False
7,1,7,"(0, 0, 0)",False
7,2,7,"(0, 0, 0)",False
8,1,0,"(0, 0, 0)",False
8,2,3,"(0, 0, 0)",False
8,3,6,"(0, 0, 0)",False
9,1,0,"(0, 0, 0)",False
9,2,3,"(0, 0, 0)",False
10,1,0,"(0, 0, 0)",False
10,2,0,"(0, 0, 0)",False
11,1,0,"(0, 0, 0)",False
11,2,2,"(0, 0, 0)",False
12,1,7,"(0, 0, 0)",False
12,2,0,"(0, 0, 0)",False
12,3,7,"(0, 0, 0)",False
12,4,3,"(0, 0, 0)",False
12,5,0,"(0, 0, 0)",False
12,6,7,"(0, 0, 0)",False
13,1,5,"(0, 0, 0)",False
13,2,4,"(0, 0, 0)",False
14,1,1,"(0, 0, 0)",False
14,2,7,"(0, 0, 0)",False
15,1,2,"(0, 0, 0)",False
15,2,6,"(0, 0, 0)",False
15,3,6,"(0, 0, 0)",False
16,1,3,"(0, 0, 0)",False
16,2,6,"(0, 0, 0)",False
16,3,3,"(0, 0, 0)",False
17,1,2,"(0, 0, 0)",False
17,2,5,"(0, 0, 0)",False
17,3,1,"(0, 0, 0)",False
17,4,3,"(0, 0, 0)",False
18,1,0,"(0, 0, 0)",False
18,2,1,"(0, 0, 0)",False
18,3,4,"(0, 0, 0)",False
19,1,3,"(0, 0, 0)",False
19,2,2,"(0, 0, 0)",False
20,1,4,"(0, 0, 0)",False
20,2,0,"(0, 0, 0)",False
20,3,2,"(0, 0, 0)",False
21,1,0,"(0, 0, 0)",False
21,2,1,"(0, 0, 0)",False
21,3,0,"(0, 0, 0)",False
21,4,3,"(0, 0, 0)",False
21,5,7,"(0, 0, 0)",False
21,6,5,"(0, 0, 0)",False
22,1,4,"(0, 0, 0)",False
22,2,3,"(0, 0, 0)",False
22,3,6,"(0, 0, 0)",False
22,4,7,"(0, 0, 0)",False
23,1,7,"(0, 0, 0)",False
23,2,6,"(0, 0, 0)",False
23,3,4,"(0, 0, 0)",False
23,4,1,"(0, 0, 0)",False
24,1,3,"(0, 0, 0)",False
24,2,7,"(0, 0, 0)",False
24,3,2,"(0, 0, 0)",False
24,4,3,"(0, 0, 0)",False
24,5,6,"(0, 0, 0)",False
25,1,1,"(0, 0, 0)",False
25,2,2,"(0, 0, 0)",False
25,3,0,"(0, 0, 0)",False
26,1,6,"(0, 0, 0)",False
26,2,0,"(0, 0, 0)",False
26,3,5,"(0, 0, 0)",False
26,4,3,"(0, 0, 0)",False
26,5,7,"(0, 0, 0)",False
26,6,3,"(0, 0, 0)",False
27,1,5,"(0, 0, 0)",False
27,2,1,"(0, 0, 0)",False
27,3,7,"(0, 0, 0)",False
27,4,3,"(0, 0, 0)",False
27,5,4,"(0, 0, 0)",False
28,1,1,"(0, 0, 0)",False
28,2,3,"(0, 0, 0)",False
28,3,0,"(0, 0, 0)",False
28,4,3,"(0, 0, 0)",False
29,1,4,"(0, 0, 0)",False
29,2,5,"(0, 0, 0)",False
29,3,4,"(0, 0, 0)",False
29,4,0,"(0, 0, 0)",False
30,1,2,"(0, 0, 0)",False
30,2,6,"(0, 0, 0)",False
30,3,1,"(0, 0, 0)",False
30,4,6,"(0, 0, 0)",False
30,5,6,"(0, 0, 0)",False
30,6,7,"(0, 0, 0)",False
30,7,2,"(0, 0, 0)",False
31,1,4,"(0, 0, 0)",False
31,2,3,"(0, 0, 0)",False
31,3,5,"(0, 0, 0)",False
31,4,2,"(0, 0, 0)",False
31,5,2,"(0, 0, 0)",False
31,6,3,"(0, 0, 0)",False
32,1,5,"(0, 0, 0)",False
32,2,2,"(0, 0, 0)",False
32,3,0,"(0, 0, 0)",False
32,4,2,"(0, 0, 0)",False
33,1,7,"(0, 0, 0)",False
33,2,6,"(0, 0, 0)",False
34,1,4,"(0, 0, 0)",False
34,2,2,"(0, 0, 0)",False
34,3,7,"(0, 0, 0)",False
34,4,6,"(0, 0, 0)",False
35,1,2,"(0, 0, 0)",False
35,2,6,"(0, 0, 0)",False
35,3,1,"(0, 0, 0)",False
35,4,0,"(0, 0, 0)",False
36,1,7,"(0, 0, 0)",False
36,2,1,"(0, 0, 0)",False
36,3,0,"(0, 0, 0)",False
36,4,4,"(0, 0, 0)",False
37,1,2,"(0, 0, 0)",False
37,2,1,"(0, 0, 0)",False
37,3,7,"(0, 0, 0)",False
37,4,1,"(0, 0, 0)",False
37,5,3,"(0, 0, 0)",False
37,6,3,"(0, 0, 0)",False
37,7,1,"(0, 0, 0)",False
37,8,7,"(0, 0, 0)",False
37,9,7,"(0, 0, 0)",False
37,10,3,"(0, 0, 0)",False
37,11,4,"(0, 0, 0)",False
37,12,3,"(0, 0, 0)",False
38,1,1,"(0, 0, 0)",False
38,2,7,"(0, 0, 0)",False
38,3,1,"(0, 0, 0)",False
39,1,5,"(0, 0, 0)",False
39,2,3,"(0, 0, 0)",False
39,3,6,"(0, 0, 0)",False
39,4,6,"(0, 0, 0)",False
39,5,0,"(0, 0, 0)",False
39,6,3,"(0, 0, 0)",False
40,1,1,"(0, 0, 0)",False
40,2,0,"(0, 0, 0)",False
40,3,5,"(0, 0, 0)",False
40,4,1,"(0, 0, 0)",False
41,1,1,"(0, 0, 0)",False
41,2,4,"(0, 0, 0)",False
42,1,3,"(0, 0, 0)",False
42,2,2,"(0, 0, 0)",False
42,3,2,"(0, 0, 0)",False
42,4,3,"(0, 0, 0)",False
42,5,6,"(0, 0, 0)",False
43,1,4,"(0, 0, 0)",False
43,2,4,"(0, 0, 0)",False
43,3,1,"(0, 0, 0)",False
44,1,5,"(0, 0, 0)",False
44,2,7,"(0, 0, 0)",False
45,1,4,"(0, 0, 0)",False
45,2,5,"(0, 0, 0)",False
46,1,2,"(0, 0, 0)",False
46,2,3,"(0, 0, 0)",False
46,3,4,"(0, 0, 0)",False
46,4,2,"(0, 0, 0)",False
46,5,0,"(0, 0, 0)",False
47,1,0,"(0, 0, 0)",False
47,2,4,"(0, 0, 0)",False
47,3,5,"(0, 0, 0)",False
47,4,0,"(0, 0, 0)",False
48,1,7,"(0, 0, 0)",False
48,2,6,"(0, 0, 0)",False
49,1,4,"(0, 0, 0)",False
49,2,1,"(0, 0, 0)",False
49,3,7,"(0, 0, 0)",False
49,4,6,"(0, 0, 0)",False
50,1,3,"(0, 0, 0)",False
50,2,0,"(0, 0, 0)",False
50,3,3,"(0, 0, 0)",False
50,4,6,"(0, 0, 0)",False
50,5,6,"(0, 0, 0)",False
50,6,4,"(0, 0, 0)",False
51,1,0,"(0, 0, 0)",False
51,2,3,"(0, 0, 0)",False
51,3,5,"(0, 0, 0)",False
51,4,5,"(0, 0, 0)",False
52,1,1,"(0, 0, 0)",False
52,2,6,"(0, 0, 0)",False
53,1,1,"(0, 0, 0)",False
53,2,6,"(0, 0, 0)",False
54,1,7,"(0, 0, 0)",False
54,2,5,"(0, 0, 0)",False
54,3,5,"(0, 0, 0)",False
54,4,0,"(0, 0, 0)",False
54,5,3,"(0, 0, 0)",False
55,1,6,"(0, 0, 0)",False
55,2,1,"(0, 0, 0)",False
55,3,4,"(0, 0, 0)",False
55,4,5,"(0, 0, 0)",False
55,5,7,"(0, 0, 0)",False
55,6,7,"(0, 0, 0)",False
56,1,3,"(0, 0, 0)",False
56,2,5,"(0, 0, 0)",False
56,3,7,"(0, 0, 0)",False
57,1,7,"(0, 0, 0)",False
57,2,7,"(0, 0, 0)",False
58,1,0,"(0, 0, 0)",False
58,2,4,"(0, 0, 0)",False
59,1,7,"(0, 0, 0)",False
59,2,5,"(0, 0, 0)",False
59,3,1,"(0, 0, 0)",False
60,1,0,"(0, 0, 0)",False
60,2,4,"(0, 0, 0)",False
61,1,2,"(0, 0, 0)",False
61,2,6,"(0, 0, 0)",False
61,3,5,"(0, 0, 0)",False
61,4,7,"(0, 0, 0)",False
61,5,7,"(0, 0, 0)",False
62,1,3,"(0, 0, 0)",False
62,2,4,"(0, 0, 0)",False
62,3,1,"(0, 0, 0)",False
62,4,7,"(0, 0, 0)",False
62,5,0,"(0, 0, 0)",False
63,1,0,"(0, 0, 0)",False
63,2,1,"(0, 0, 0)",False
63,3,2,"(0, 0, 0)",False
64,1,7,"(0, 0, 0)",False
64,2,3,"(0, 0, 0)",False
64,3,6,"(0, 0, 0)",False
64,4,7,"(0, 0, 0)",False
64,5,7,"(0, 0, 0)",False
64,6,6,"(0, 0, 0)",False
65,1,3,"(0, 0, 0)",False
65,2,4,"(0, 0, 0)",False
65,3,1,"(0, 0, 0)",False
66,1,1,"(0, 0, 0)",False
66,2,3,"(0, 0, 0)",False
66,3,7,"(0, 0, 0)",False
66,4,7,"(0, 0, 0)",False
67,1,4,"(0, 0, 0)",False
67,2,0,"(0, 0, 0)",False
67,3,1,"(0, 0, 0)",False
68,1,4,"(0, 0, 0)",False
68,2,4,"(0, 0, 0)",False
68,3,1,"(0, 0, 0)",False
68,4,4,"(0, 0, 0)",False
69,1,2,"(0, 0, 0)",False
69,2,2,"(0, 0, 0)",False
69,3,2,"(0, 0, 0)",False
69,4,4,"(0, 0, 0)",False
69,5,0,"(0, 0, 0)",False
69,6,7,"(0, 0, 0)",False
70,1,1,"(0, 0, 0)",False
70,2,0,"(0, 0, 0)",False
70,3,7,"(0, 0, 0)",False
71,1,7,"(0, 0, 0)",False
71,2,5,"(0, 0, 0)",False
71,3,5,"(0, 0, 0)",False
72,1,2,"(0, 0, 0)",False
72,2,6,"(0, 0, 0)",False
73,1,5,"(0, 0, 0)",False
73,2,7,"(0, 0, 0)",False
74,1,4,"(0, 0, 0)",False
74,2,7,"(0, 0, 0)",False
74,3,1,"(0, 0, 0)",False
75,1,0,"(0, 0, 0)",False
75,2,1,"(0, 0, 0)",False
75,3,6,"(0, 0, 0)",False
75,4,6,"(0, 0, 0)",False
75,5,4,"(0, 0, 0)",False
76,1,1,"(0, 0, 0)",False
76,2,6,"(0, 0, 0)",False
76,3,2,"(0, 0, 0)",False
76,4,1,"(0, 0, 0)",False
77,1,2,"(0, 0, 0)",False
77,2,2,"(0, 0, 0)",False
77,3,5,"(0, 0, 0)",False
78,1,0,"(0, 0, 0)",False
78,2,7,"(0, 0, 0)",False
78,3,7,"(0, 0, 0)",False
79,1,6,"(0, 0, 0)",False
79,2,6,"(0, 0, 0)",False
79,3,4,"(0, 0, 0)",False
79,4,2,"(0, 0, 0)",False
79,5,5,"(0, 0, 0)",False
80,1,0,"(0, 0, 0)",False
80,2,4,"(0, 0, 0)",False
80,3,1,"(0, 0, 0)",False
80,4,5,"(0, 0, 0)",False
81,1,1,"(0, 0, 0)",False
81,2,5,"(0, 0, 0)",False
82,1,3,"(0, 0, 0)",False
82,2,2,"(0, 0, 0)",False
82,3,0,"(0, 0, 0)",False
82,4,6,"(0, 0, 0)",False
83,1,4,"(0, 0, 0)",False
83,2,6,"(0, 0, 0)",False
84,1,2,"(0, 0, 0)",False
84,2,2,"(0, 0, 0)",False
85,1,3,"(0, 0, 0)",False
85,2,2,"(0, 0, 0)",False
85,3,4,"(0, 0, 0)",False
86,1,5,"(0, 0, 0)",False
86,2,0,"(0, 0, 0)",False
87,1,6,"(0, 0, 0)",False
87,2,5,"(0, 0, 0)",False
88,1,3,"(0, 0, 0)",False
88,2,6,"(0, 0, 0)",False
88,3,1,"(0, 0, 0)",False
88,4,7,"(0, 0, 0)",False
88,5,3,"(0, 0, 0)",False
88,6,5,"(0, 0, 0)",False
89,1,2,"(0, 0, 0)",False
89,2,4,"(0, 0, 0)",False
89,3,5,"(0, 0, 0)",False
89,4,3,"(0, 0, 0)",False
90,1,7,"(0, 0, 0)",False
90,2,2,"(0, 0, 0)",False
90,3,4,"(0, 0, 0)",False
90,4,2,"(0, 0, 0)",False
91,1,7,"(0, 0, 0)",False
91,2,4,"(0, 0, 0)",False
91,3,0,"(0, 0, 0)",False
92,1,1,"(0, 0, 0)",False
92,2,1,"(0, 0, 0)",False
92,3,4,"(0, 0, 0)",False
92,4,3,"(0, 0, 0)",False
92,5,0,"(0, 0, 0)",False
93,1,3,"(0, 0, 0)",False
93,2,7,"(0, 0, 0)",False
93,3,5,"(0, 0, 0)",False
93,4,6,"(0, 0, 0)",False
94,1,5,"(0, 0, 0)",False
94,2,2,"(0, 0, 0)",False
94,3,3,"(0, 0, 0)",False
95,1,3,"(0, 0, 0)",False
95,2,3,"(0, 0, 0)",False
95,3,0,"(0, 0, 0)",False
95,4,4,"(0, 0, 0)",False
96,1,1,"(0, 0, 0)",False
96,2,0,"(0, 0, 0)",False
96,3,2,"(0, 0, 0)",False
96,4,6,"(0, 0, 0)",False
97,1,1,"(0, 0, 0)",False
97,2,1,"(0, 0, 0)",False
98,1,5,"(0, 0, 0)",False
98,2,0,"(0, 0, 0)",False
98,3,7,"(0, 0, 0)",False
99,1,4,"(0, 0, 0)",False
99,2,4,"(0, 0, 0)",False
99,3,7,"(0, 0, 0)",False
99,4,4,"(0, 0, 0)",False
100,1,1,"(0, 0, 0)",False
100,2,0,"(0, 0, 0)",False
100,3,1,"(0, 0, 0)",False
100,4,3,"(0, 0, 0)",False
101,1,6,"(0, 0, 0)",False
101,2,2,"(0, 0, 0)",False
102,1,1,"(0, 0, 0)",False
102,2,0,"(0, 0, 0)",False
102,3,3,"(0, 0, 0)",False
102,4,4,"(0, 0, 0)",False
102,5,3,"(0, 0, 0)",False
102,6,1,"(0, 0, 0)",False
103,1,7,"(0, 0, 0)",False
103,2,5,"(0, 0, 0)",False
103,3,0,"(0, 0, 0)",False
103,4,7,"(0, 0, 0)",False
104,1,2,"(0, 0, 0)",False
104,2,7,"(0, 0, 0)",False
104,3,4,"(0, 0, 0)",False
104,4,3,"(0, 0, 0)",False
105,1,5,"(0, 0, 0)",False
105,2,1,"(0, 0, 0)",False
105,3,5,"(0, 0, 0)",False
105,4,0,"(0, 0, 0)",False
106,1,7,"(0, 0, 0)",False
106,2,6,"(0, 0, 0)",False
106,3,2,"(0, 0, 0)",False
106,4,6,"(0, 0, 0)",False
107,1,1,"(0, 0, 0)",False
107,2,5,"(0, 0, 0)",False
107,3,5,"(0, 0, 0)",False
108,1,2,"(0, 0, 0)",False
108,2,0,"(0, 0, 0)",False
108,3,1,"(0, 0, 0)",False
109,1,2,"(0, 0, 0)",False
109,2,2,"(0, 0, 0)",False
109,3,0,"(0, 0, 0)",False
109,4,0,"(0, 0, 0)",False
110,1,0,"(0, 0, 0)",False
110,2,6,"(0, 0, 0)",False
110,3,3,"(0, 0, 0)",False
111,1,7,"(0, 0, 0)",False
111,2,5,"(0, 0, 0)",False
111,3,7,"(0, 0, 0)",False
112,1,0,"(0, 0, 0)",False
112,2,1,"(0, 0, 0)",False
112,3,4,"(0, 0, 0)",False
113,1,1,"(0, 0, 0)",False
113,2,2,"(0, 0, 0)",False
113,3,3,"(0, 0, 0)",False
114,1,2,"(0, 0, 0)",False
114,2,4,"(0, 0, 0)",False
114,3,2,"(0, 0, 0)",False
115,1,2,"(0, 0, 0)",False
115,2,6,"(0, 0, 0)",False
115,3,4,"(0, 0, 0)",False
116,1,2,"(0, 0, 0)",False
116,2,3,"(0, 0, 0)",False
116,3,2,"(0, 0, 0)",False
117,1,6,"(0, 0, 0)",False
117,2,7,"(0, 0, 0)",False
117,3,5,"(0, 0, 0)",False
118,1,4,"(0, 0, 0)",False
118,2,4,"(0, 0, 0)",False
119,1,3,"(0, 0, 0)",False
119,2,3,"(0, 0, 0)",False
119,3,6,"(0, 0, 0)",False
120,1,0,"(0, 0, 0)",False
120,2,7,"(0, 0, 0)",False
120,3,6,"(0, 0, 0)",False
120,4,1,"(0, 0, 0)",False
120,5,3,"(0, 0, 0)",False
120,6,2,"(0, 0, 0)",False
120,7,1,"(0, 0, 0)",False
121,1,5,"(0, 0, 0)",False
121,2,1,"(0, 0, 0)",False
121,3,3,"(0, 0, 0)",False
122,1,2,"(0, 0, 0)",False
122,2,7,"(0, 0, 0)",False
122,3,7,"(0, 0, 0)",False
123,1,0,"(0, 0, 0)",False
123,2,5,"(0, 0, 0)",False
123,3,2,"(0, 0, 0)",False
124,1,1,"(0, 0, 0)",False
124,2,1,"(0, 0, 0)",False
124,3,2,"(0, 0, 0)",False
125,1,1,"(0, 0, 0)",False
125,2,7,"(0, 0, 0)",False
125,3,4,"(0, 0, 0)",False
125,4,4,"(0, 0, 0)",False
126,1,1,"(0, 0, 0)",False
126,2,1,"(0, 0, 0)",False
126,3,0,"(0, 0, 0)",False
126,4,2,"(0, 0, 0)",False
127,1,3,"(0, 0, 0)",False
127,2,5,"(0, 0, 0)",False
127,3,1,"(0, 0, 0)",False
128,1,1,"(0, 0, 0)",False
128,2,1,"(0, 0, 0)",False
128,3,3,"(0, 0, 0)",False
129,1,5,"(0, 0, 0)",False
129,2,2,"(0, 0, 0)",False
129,3,0,"(0, 0, 0)",False
130,1,3,"(0, 0, 0)",False
130,2,5,"(0, 0, 0)",False
130,3,5,"(0, 0, 0)",False
131,1,3,"(0, 0, 0)",False
131,2,6,"(0, 0, 0)",False
131,3,1,"(0, 0, 0)",False
132,1,7,"(0, 0, 0)",False
132,2,7,"(0, 0, 0)",False
132,3,4,"(0, 0, 0)",False
133,1,7,"(0, 0, 0)",False
133,2,5,"(0, 0, 0)",False
133,3,3,"(0, 0, 0)",False
134,1,4,"(0, 0, 0)",False
134,2,4,"(0, 0, 0)",False
134,3,1,"(0, 0, 0)",False
135,1,3,"(0, 0, 0)",False
135,2,3,"(0, 0, 0)",False
135,3,1,"(0, 0, 0)",False
136,1,3,"(0, 0, 0)",False
136,2,5,"(0, 0, 0)",False
136,3,6,"(0, 0, 0)",False
137,1,5,"(0, 0, 0)",False
137,2,0,"(0, 0, 0)",False
137,3,3,"(0, 0, 0)",False
137,4,7,"(0, 0, 0)",False
137,5,4,"(0, 0, 0)",False
138,1,5,"(0, 0, 0)",False
138,2,5,"(0, 0, 0)",False
138,3,2,"(0, 0, 0)",False
139,1,5,"(0, 0, 0)",False
139,2,5,"(0, 0, 0)",False
139,3,5,"(0, 0, 0)",False
140,1,0,"(0, 0, 0)",False
140,2,1,"(0, 0, 0)",False
140,3,4,"(0, 0, 0)",False
141,1,2,"(0, 0, 0)",False
141,2,3,"(0, 0, 0)",False
141,3,5,"(0, 0, 0)",False
142,1,0,"(0, 0, 0)",False
142,2,4,"(0, 0, 0)",False
142,3,3,"(0, 0, 0)",False
143,1,2,"(0, 0, 0)",False
143,2,0,"(0, 0, 0)",False
143,3,3,"(0, 0, 0)",False
144,1,0,"(0, 0, 0)",False
144,2,4,"(0, 0, 0)",False
144,3,6,"(0, 0, 0)",False
144,4,7,"(0, 0, 0)",False
145,1,3,"(0, 0, 0)",False
145,2,4,"(0, 0, 0)",False
145,3,1,"(0, 0, 0)",False
145,4,2,"(0, 0, 0)",False
146,1,1,"(0, 0, 0)",False
146,2,0,"(0, 0, 0)",False
146,3,7,"(0, 0, 0)",False
147,1,3,"(0, 0, 0)",False
147,2,1,"(0, 0, 0)",False
147,3,7,"(0, 0, 0)",False
148,1,4,"(0, 0, 0)",False
148,2,7,"(0, 0, 0)",False
148,3,3,"(0, 0, 0)",False
149,1,6,"(0, 0, 0)",False
149,2,2,"(0, 0, 0)",False
149,3,0,"(0, 0, 0)",False
150,1,0,"(0, 0, 0)",False
150,2,3,"(0, 0, 0)",False
150,3,4,"(0, 0, 0)",False
151,1,6,"(0, 0, 0)",False
151,2,4,"(0, 0, 0)",False
151,3,1,"(0, 0, 0)",False
152,1,3,"(0, 0, 0)",False
152,2,2,"(0, 0, 0)",False
152,3,2,"(0, 0, 0)",False
153,1,0,"(0, 0, 0)",False
153,2,1,"(0, 0, 0)",False
153,3,5,"(0, 0, 0)",False
154,1,6,"(0, 0, 0)",False
154,2,3,"(0, 0, 0)",False
154,3,4,"(0, 0, 0)",False
154,4,2,"(0, 0, 0)",False
155,1,2,"(0, 0, 0)",False
155,2,6,"(0, 0, 0)",False
155,3,3,"(0, 0, 0)",False
155,4,4,"(0, 0, 0)",False
156,1,4,"(0, 0, 0)",False
156,2,3,"(0, 0, 0)",False
156,3,0,"(0, 0, 0)",False
157,1,1,"(0, 0, 0)",False
157,2,3,"(0, 0, 0)",False
157,3,4,"(0, 0, 0)",False
158,1,1,"(0, 0, 0)",False
158,2,3,"(0, 0, 0)",False
158,3,4,"(0, 0, 0)",False
159,1,1,"(0, 0, 0)",False
159,2,4,"(0, 0, 0)",False
159,3,5,"(0, 0, 0)",False
160,1,7,"(0, 0, 0)",False
160,2,2,"(0, 0, 0)",False
160,3,1,"(0, 0, 0)",False
160,4,1,"(0, 0, 0)",False
161,1,4,"(0, 0, 0)",False
161,2,4,"(0, 0, 0)",False
161,3,5,"(0, 0, 0)",False
161,4,2,"(0, 0, 0)",False
162,1,0,"(0, 0, 0)",False
162,2,3,"(0, 0, 0)",False
162,3,0,"(0, 0, 0)",False
162,4,1,"(0, 0, 0)",False
163,1,7,"(0, 0, 0)",False
163,2,4,"(0, 0, 0)",False
164,1,1,"(0, 0, 0)",False
164,2,1,"(0, 0, 0)",False
165,1,4,"(0, 0, 0)",False
165,2,0,"(0, 0, 0)",False
165,3,7,"(0, 0, 0)",False
