sta_code,box_id,sku_code,position,rotation,utilization,is_rotated,rotation_type,error
BSIN2309015005,35x23x13,DQ4137-300,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,89.67032967032967032967032967,True,0,
BSIN2309015005,40x28x16,DX1488-410,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,12.187500,True,0,
BSIN2309015072,37x26x13,DH7161-010,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,19.95841995841995841995841996,True,0,
BSIN2309015072,37x26x13,AV2187-140,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,86.35854789700943547097393251,True,0,
BSIN2309015132,35x23x13,DH8922-100,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,11.35212613473483038700430005,True,0,
BSIN2309015132,37x26x13,DV2018-003,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,78.29841675995522149368303214,True,0,
BSIN2309015209,37x26x13,FB7183-001,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,82.90420598112905805213497521,True,0,
BSIN2309015209,42x30x18,DX0907-121,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,4.858906525573192239858906526,True,0,
BSIN2309015209,52x40x17,FB7498-010,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,13.06561085972850678733031674,True,0,
BSIN2309015882,35x23x13,CK6021-904,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,35.77639751552795031055900621,True,0,
BSIN2309015882,35x23x13,DX6868-001,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,75.68084089823220258002866699,True,0,
BSIN2309015882,37x26x13,DX6865-002,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,89.81288981288981288981288981,True,0,
BSIN2309016604,40x28x16,DX1690-400,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,70.51339285714285714285714286,True,0,
BSIN2309016604,42x30x18,BQ3729-100,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,5.158730158730158730158730159,True,0,
BSIN2309016617,35x23x13,DX5575-100,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,63.60248447204968944099378882,True,0,
BSIN2309016617,40x28x16,SX7677-010,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,37.500,True,0,
BSIN2309016642,35x23x13,FJ2033-060,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,68.11275680840898232202580029,True,0,
BSIN2309016642,35x23x13,FJ2033-060,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,68.11275680840898232202580029,True,0,
BSIN2309016642,37x26x13,SX4120-101,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,43.65904365904365904365904366,True,0,
BSIN2309016924,35x23x13,DV3944-343,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,84.28093645484949832775919732,True,0,
BSIN2309016924,35x23x13,DR2665-101,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,84.28093645484949832775919732,True,0,
BSIN2309017293,35x23x13,HA6950-100,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,21.44290492116579073100812231,True,0,
BSIN2309017293,37x26x13,DJ0382-600,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,82.90420598112905805213497521,True,0,
BSIN2309017401,35x23x13,DH9765-102,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,58.86287625418060200668896321,True,0,
BSIN2309017401,42x30x18,CZ4255-101,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,15.87301587301587301587301587,True,0,
BSIN2309017417,35x23x13,FB8271-010,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,84.39560439560439560439560440,True,0,
BSIN2309017417,35x23x13,553558-515,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,84.39560439560439560439560440,True,0,
BSIN2309017417,37x26x13,DM6729-133,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,14.96881496881496881496881497,True,0,
BSIN2309017417,40x28x16,DX3337-010,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,31.87500,True,0,
BSIN2309017417,40x28x16,DX3337-386,"[Decimal('0'), Decimal('0'), Decimal('3')]",0.0,31.87500,True,0,
BSIN2309017417,52x40x17,DV9074-113,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,3.653846153846153846153846154,True,0,
BSIN2309018639,35x23x13,FB5369-072,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,68.41853798375537505972288581,True,0,
BSIN2309018639,35x23x13,CN9675-108,"[Decimal('0'), Decimal('6'), Decimal('0')]",0.0,68.41853798375537505972288581,True,0,
BSIN2309018668,35x23x13,BV2649-063,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,76.74151935021500238891543239,True,0,
BSIN2309018668,35x23x13,FN4292-100,"[Decimal('0'), Decimal('0'), Decimal('1')]",0.0,76.74151935021500238891543239,True,0,
BSIN2309019510,35x23x13,DB0456-010,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,19.87577639751552795031055901,True,0,
BSIN2309019510,37x26x13,DJ0382-600,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,89.81288981288981288981288981,True,0,
BSIN2309019510,40x28x16,CU6589-247,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,16.87500,True,0,
BSIN2309019542,35x23x13,DD1869-107,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,75.05016722408026755852842809,True,0,
BSIN2309019542,35x23x13,DD1869-107,"[Decimal('0'), Decimal('0'), Decimal('0')]",0.0,75.05016722408026755852842809,True,0,
